seed,bits_per_key,method,raw_invalid_forward_rate,first_seen_invalid_forward_rate,backend_invocations,p95_queue_delay_ms,p99_queue_delay_ms,worker_utilization,cap_exhaustions,cap_violations,valid_rejects,memory_bits_per_key,probe_cost
20,12.0,TRAPS full,0.0011348883736709467,0.0022697767473418935,51134,1.4210854715202004e-14,0.0,0.21673358958333336,0,0,0,16.0,9.506096481016288
20,12.0,No learned router,0.003134028105931708,0.003134028105931708,53201,1.4210854715202004e-14,0.0,0.22549465520833334,0,0,0,12.0,8.0
20,12.0,No region allocation,0.003134028105931708,0.003134028105931708,53117,1.4210854715202004e-14,0.0,0.22513861770833335,0,0,0,12.0,8.0
20,12.0,No false-forward cap,0.0009646551176203047,0.0019293102352406094,50987,1.4210854715202004e-14,0.0,0.21611052395833336,3,2,0,12.0,9.506096481016288
20,12.0,No replay cache,0.0022697767473418935,0.0022697767473418935,52306,1.4210854715202004e-14,0.0,0.22170116041666668,0,0,0,12.0,9.506096481016288
20,12.0,Oracle allocation,0.0011041060410574878,0.0022082120821149756,51102,1.4210854715202004e-14,0.0,0.21659795625000003,0,0,0,12.0,9.27215490795482
21,12.0,TRAPS full,0.0011017688473634042,0.0022035376947268084,51084,1.4210854715202004e-14,0.0,0.21652166250000002,0,0,0,16.0,9.817422680894332
21,12.0,No learned router,0.003134028105931708,0.003134028105931708,53090,1.4210854715202004e-14,0.0,0.22502417708333333,0,0,0,12.0,8.0
21,12.0,No region allocation,0.003134028105931708,0.003134028105931708,53124,1.4210854715202004e-14,0.0,0.2251682875,0,0,0,12.0,8.0
21,12.0,No false-forward cap,0.0009365035202588936,0.0018730070405177871,50972,1.4210854715202004e-14,0.0,0.21604694583333334,3,2,0,12.0,9.817422680894332
21,12.0,No replay cache,0.0022035376947268084,0.0022035376947268084,52161,1.4210854715202004e-14,0.0,0.221086571875,0,0,0,12.0,9.817422680894332
21,12.0,Oracle allocation,0.001016831095914517,0.002033662191829034,51027,1.4210854715202004e-14,0.0,0.21628006562500002,0,0,0,12.0,9.563847786390006
22,12.0,TRAPS full,0.0010631265343238074,0.0021262530686476148,51034,1.4210854715202004e-14,0.0,0.2163097354166667,0,0,0,16.0,9.587140882455381
22,12.0,No learned router,0.003134028105931708,0.003134028105931708,53076,1.4210854715202004e-14,0.0,0.22496483750000001,0,0,0,12.0,8.0
22,12.0,No region allocation,0.003134028105931708,0.003134028105931708,53107,1.4210854715202004e-14,0.0,0.22509623229166667,0,0,0,12.0,8.0
22,12.0,No false-forward cap,0.0009036575541752363,0.0018073151083504726,50900,1.4210854715202004e-14,0.0,0.21574177083333335,3,2,0,12.0,9.587140882455381
22,12.0,No replay cache,0.0021262530686476148,0.0021262530686476148,52146,1.4210854715202004e-14,0.0,0.22102299375,0,0,0,12.0,9.587140882455381
22,12.0,Oracle allocation,0.0010407537117589733,0.0020815074235179466,50998,1.4210854715202004e-14,0.0,0.21615714791666668,0,0,0,12.0,9.43942254657162
23,12.0,TRAPS full,0.0011410292547665733,0.0022820585095331466,51103,1.4210854715202004e-14,0.0,0.21660219479166667,0,0,0,16.0,9.6509955121221
23,12.0,No learned router,0.003134028105931708,0.003134028105931708,53058,1.4210854715202004e-14,0.0,0.22488854375,0,0,0,12.0,8.0
23,12.0,No region allocation,0.003134028105931708,0.003134028105931708,53216,1.4210854715202004e-14,0.0,0.22555823333333333,0,0,0,12.0,8.0
23,12.0,No false-forward cap,0.0009698748665515872,0.0019397497331031745,50912,1.4210854715202004e-14,0.0,0.21579263333333334,3,2,0,12.0,9.6509955121221
23,12.0,No replay cache,0.0022820585095331466,0.0022820585095331466,52256,1.4210854715202004e-14,0.0,0.22148923333333337,0,0,0,12.0,9.6509955121221
23,12.0,Oracle allocation,0.0010657588518230895,0.002131517703646179,51073,1.4210854715202004e-14,0.0,0.2164750385416667,0,0,0,12.0,9.33899908387006
24,12.0,TRAPS full,0.0011052956961196483,0.0022105913922392966,51161,1.4210854715202004e-14,0.0,0.21684803020833335,0,0,0,16.0,9.672759168513773
24,12.0,No learned router,0.003134028105931708,0.003134028105931708,53107,1.4210854715202004e-14,0.0,0.22509623229166667,0,0,0,12.0,8.0
24,12.0,No region allocation,0.003134028105931708,0.003134028105931708,53140,1.4210854715202004e-14,0.0,0.22523610416666667,0,0,0,12.0,8.0
24,12.0,No false-forward cap,0.000939501341701701,0.001879002683403402,50986,1.4210854715202004e-14,0.0,0.21610628541666668,3,2,0,12.0,9.672759168513773
24,12.0,No replay cache,0.0022105913922392966,0.0022105913922392966,52180,1.4210854715202004e-14,0.0,0.22116710416666666,0,0,0,12.0,9.672759168513773
24,12.0,Oracle allocation,0.0010179644043965962,0.0020359288087931924,51015,1.4210854715202004e-14,0.0,0.216229203125,0,0,0,12.0,9.559818195342949
25,12.0,TRAPS full,0.001142117396506761,0.002284234793013522,51148,1.4210854715202004e-14,0.0,0.21679292916666668,0,0,0,16.0,9.618885239167067
25,12.0,No learned router,0.003134028105931708,0.003134028105931708,53151,1.4210854715202004e-14,0.0,0.225282728125,0,0,0,12.0,8.0
25,12.0,No region allocation,0.003134028105931708,0.003134028105931708,53086,1.4210854715202004e-14,0.0,0.22500722291666667,0,0,0,12.0,8.0
25,12.0,No false-forward cap,0.0009707997870307468,0.0019415995740614937,50930,1.4210854715202004e-14,0.0,0.21586892708333336,3,2,0,12.0,9.618885239167067
25,12.0,No replay cache,0.002284234793013522,0.002284234793013522,52386,1.4210854715202004e-14,0.0,0.22204024375,0,0,0,12.0,9.618885239167067
25,12.0,Oracle allocation,0.001048518876765889,0.002097037753531778,51028,1.4210854715202004e-14,0.0,0.2162843041666667,0,0,0,12.0,9.320934338557866
26,12.0,TRAPS full,0.0010610520653937098,0.0021221041307874196,51014,1.4210854715202004e-14,0.0,0.21622496458333335,0,0,0,16.0,9.681962782754368
26,12.0,No learned router,0.003134028105931708,0.003134028105931708,53115,1.4210854715202004e-14,0.0,0.225130140625,0,0,0,12.0,8.0
26,12.0,No region allocation,0.003134028105931708,0.003134028105931708,53128,1.4210854715202004e-14,0.0,0.22518524166666667,0,0,0,12.0,8.0
26,12.0,No false-forward cap,0.0009018942555846534,0.0018037885111693067,50961,1.4210854715202004e-14,0.0,0.216000321875,3,2,0,12.0,9.681962782754368
26,12.0,No replay cache,0.0021221041307874196,0.0021221041307874196,52063,1.4210854715202004e-14,0.0,0.2206711947916667,0,0,0,12.0,9.681962782754368
26,12.0,Oracle allocation,0.001020379755852376,0.002040759511704752,51052,1.4210854715202004e-14,0.0,0.2163860291666667,0,0,0,12.0,9.5765326504781
27,12.0,TRAPS full,0.0011070712580982516,0.002214142516196503,51135,1.4210854715202004e-14,0.0,0.21673782812500003,0,0,0,16.0,9.662261630614044
27,12.0,No learned router,0.003134028105931708,0.003134028105931708,53149,1.4210854715202004e-14,0.0,0.22527425104166668,0,0,0,12.0,8.0
27,12.0,No region allocation,0.003134028105931708,0.003134028105931708,53108,1.4210854715202004e-14,0.0,0.22510047083333334,0,0,0,12.0,8.0
27,12.0,No false-forward cap,0.0009410105693835138,0.0018820211387670276,50980,1.4210854715202004e-14,0.0,0.2160808541666667,3,2,0,12.0,9.662261630614044
27,12.0,No replay cache,0.002214142516196503,0.002214142516196503,52210,1.4210854715202004e-14,0.0,0.2212942604166667,0,0,0,12.0,9.662261630614044
27,12.0,Oracle allocation,0.0010150969408784212,0.0020301938817568425,51005,1.4210854715202004e-14,0.0,0.21618681770833337,0,0,0,12.0,9.515333549772773
28,12.0,TRAPS full,0.0010804203378956994,0.0021608406757913988,51057,1.4210854715202004e-14,0.0,0.216407221875,0,0,0,16.0,9.897295702653093
28,12.0,No learned router,0.003134028105931708,0.003134028105931708,53129,1.4210854715202004e-14,0.0,0.22518948020833335,0,0,0,12.0,8.0
28,12.0,No region allocation,0.003134028105931708,0.003134028105931708,53121,1.4210854715202004e-14,0.0,0.22515557187500002,0,0,0,12.0,8.0
28,12.0,No false-forward cap,0.0009183572872113444,0.0018367145744226888,50921,1.4210854715202004e-14,0.0,0.21583078020833335,3,2,0,12.0,9.897295702653093
28,12.0,No replay cache,0.0021608406757913988,0.0021608406757913988,52099,1.4210854715202004e-14,0.0,0.2208237822916667,0,0,0,12.0,9.897295702653093
28,12.0,Oracle allocation,0.0010232281481526797,0.0020464562963053595,50981,1.4210854715202004e-14,0.0,0.21608509270833334,0,0,0,12.0,9.441325273044614
29,12.0,TRAPS full,0.0011928669898933477,0.0023857339797866955,51183,1.4210854715202004e-14,0.0,0.216941278125,0,0,0,16.0,9.730515365469044
29,12.0,No learned router,0.003134028105931708,0.003134028105931708,53172,1.4210854715202004e-14,0.0,0.2253717375,0,0,0,12.0,8.0
29,12.0,No region allocation,0.003134028105931708,0.003134028105931708,53099,1.4210854715202004e-14,0.0,0.22506232395833337,0,0,0,12.0,8.0
29,12.0,No false-forward cap,0.0010139369414093454,0.002027873882818691,51008,1.4210854715202004e-14,0.0,0.21619953333333333,3,2,0,12.0,9.730515365469044
29,12.0,No replay cache,0.0023857339797866955,0.0023857339797866955,52381,1.4210854715202004e-14,0.0,0.2220190510416667,0,0,0,12.0,9.730515365469044
29,12.0,Oracle allocation,0.0011130535792056716,0.0022261071584113432,51147,1.4210854715202004e-14,0.0,0.216788690625,0,0,0,12.0,9.097427903221806
0,16.0,TRAPS full,0.00015334421309631197,0.00030668842619262395,50128,1.4210854715202004e-14,0.0,0.2124696166666667,0,0,0,20.0,12.518945708482095
0,16.0,No learned router,0.0004586385078964973,0.0004586385078964973,50446,1.4210854715202004e-14,0.0,0.2138174729166667,0,0,0,16.0,11.0
0,16.0,No region allocation,0.0004586385078964973,0.0004586385078964973,50462,1.4210854715202004e-14,0.0,0.21388528958333333,0,0,0,16.0,11.0
0,16.0,No false-forward cap,0.00013034258113186518,0.00026068516226373037,50141,1.4210854715202004e-14,0.0,0.21252471770833334,3,2,0,16.0,12.518945708482095
0,16.0,No replay cache,0.00030668842619262395,0.00030668842619262395,50269,1.4210854715202004e-14,0.0,0.21306725104166668,0,0,0,16.0,12.518945708482095
0,16.0,Oracle allocation,0.00014504340894465535,0.0002900868178893107,50150,1.4210854715202004e-14,0.0,0.21256286458333334,0,0,0,16.0,12.408502433406422
1,16.0,TRAPS full,0.000151287172512446,0.000302574345024892,50160,1.4210854715202004e-14,0.0,0.21260525000000002,0,0,0,20.0,12.514789094136884
1,16.0,No learned router,0.0004586385078964973,0.0004586385078964973,50482,1.4210854715202004e-14,0.0,0.2139700604166667,0,0,0,16.0,11.0
1,16.0,No region allocation,0.0004586385078964973,0.0004586385078964973,50445,1.4210854715202004e-14,0.0,0.213813234375,0,0,0,16.0,11.0
1,16.0,No false-forward cap,0.0001285940966355791,0.0002571881932711582,50134,1.4210854715202004e-14,0.0,0.2124950479166667,3,2,0,16.0,12.514789094136884
1,16.0,No replay cache,0.000302574345024892,0.000302574345024892,50310,1.4210854715202004e-14,0.0,0.21324103125000002,0,0,0,16.0,12.514789094136884
1,16.0,Oracle allocation,0.0001451301945703916,0.0002902603891407832,50151,1.4210854715202004e-14,0.0,0.21256710312500002,0,0,0,16.0,12.405324826698434
2,16.0,TRAPS full,0.00015161324538224337,0.00030322649076448675,50144,1.4210854715202004e-14,0.0,0.21253743333333333,0,0,0,20.0,12.651235079712261
2,16.0,No learned router,0.0004586385078964973,0.0004586385078964973,50391,1.4210854715202004e-14,0.0,0.21358435312500001,0,0,0,16.0,11.0
2,16.0,No region allocation,0.0004586385078964973,0.0004586385078964973,50463,1.4210854715202004e-14,0.0,0.213889528125,0,0,0,16.0,11.0
2,16.0,No false-forward cap,0.00012887125857490687,0.00025774251714981374,50129,1.4210854715202004e-14,0.0,0.21247385520833334,3,2,0,16.0,12.651235079712261
2,16.0,No replay cache,0.00030322649076448675,0.00030322649076448675,50291,1.4210854715202004e-14,0.0,0.21316049895833333,0,0,0,16.0,12.651235079712261
2,16.0,Oracle allocation,0.00014130035239360856,0.0002826007047872171,50124,1.4210854715202004e-14,0.0,0.21245266250000003,0,0,0,16.0,12.526382986716346
3,16.0,TRAPS full,0.00014783672916647686,0.0002956734583329537,50161,1.4210854715202004e-14,0.0,0.21260948854166667,0,0,0,20.0,12.669954788041085
3,16.0,No learned router,0.0004586385078964973,0.0004586385078964973,50429,1.4210854715202004e-14,0.0,0.21374541770833336,0,0,0,16.0,11.0
3,16.0,No region allocation,0.0004586385078964973,0.0004586385078964973,50468,1.4210854715202004e-14,0.0,0.21391072083333335,0,0,0,16.0,11.0
3,16.0,No false-forward cap,0.00012566121979150534,0.0002513224395830107,50133,1.4210854715202004e-14,0.0,0.212490809375,3,2,0,16.0,12.669954788041085
3,16.0,No replay cache,0.0002956734583329537,0.0002956734583329537,50267,1.4210854715202004e-14,0.0,0.21305877395833336,0,0,0,16.0,12.669954788041085
3,16.0,Oracle allocation,0.00014268882333187504,0.00028537764666375007,50123,1.4210854715202004e-14,0.0,0.21244842395833333,0,0,0,16.0,12.325805742598893
4,16.0,TRAPS full,0.0001417509416671671,0.0002835018833343342,50142,1.4210854715202004e-14,0.0,0.21252895625,0,0,0,20.0,12.920423332417526
4,16.0,No learned router,0.0004586385078964973,0.0004586385078964973,50425,1.4210854715202004e-14,0.0,0.2137284635416667,0,0,0,16.0,11.0
4,16.0,No region allocation,0.0004586385078964973,0.0004586385078964973,50449,1.4210854715202004e-14,0.0,0.21383018854166666,0,0,0,16.0,11.0
4,16.0,No false-forward cap,0.00012048830041709203,0.00024097660083418406,50127,1.4210854715202004e-14,0.0,0.21246537812500002,3,2,0,16.0,12.920423332417526
4,16.0,No replay cache,0.0002835018833343342,0.0002835018833343342,50292,1.4210854715202004e-14,0.0,0.21316473750000003,0,0,0,16.0,12.920423332417526
4,16.0,Oracle allocation,0.00013678413893290298,0.00027356827786580596,50141,1.4210854715202004e-14,0.0,0.21252471770833334,0,0,0,16.0,12.659445553707767
5,16.0,TRAPS full,0.0001583446961113511,0.0003166893922227022,50176,1.4210854715202004e-14,0.0,0.21267306666666666,0,0,0,20.0,12.642640572492532
5,16.0,No learned router,0.0004586385078964973,0.0004586385078964973,50397,1.4210854715202004e-14,0.0,0.21360978437500003,0,0,0,16.0,11.0
5,16.0,No region allocation,0.0004586385078964973,0.0004586385078964973,50483,1.4210854715202004e-14,0.0,0.21397429895833334,0,0,0,16.0,11.0
5,16.0,No false-forward cap,0.00013459299169464844,0.0002691859833892969,50143,1.4210854715202004e-14,0.0,0.21253319479166669,3,2,0,16.0,12.642640572492532
5,16.0,No replay cache,0.0003166893922227022,0.0003166893922227022,50369,1.4210854715202004e-14,0.0,0.21349110520833334,0,0,0,16.0,12.642640572492532
5,16.0,Oracle allocation,0.00014970739785985404,0.0002994147957197081,50124,1.4210854715202004e-14,0.0,0.21245266250000003,0,0,0,16.0,12.264874765902029
6,16.0,TRAPS full,0.0001559528327389268,0.0003119056654778536,50169,1.4210854715202004e-14,0.0,0.212643396875,0,0,0,20.0,12.588375919535668
6,16.0,No learned router,0.0004586385078964973,0.0004586385078964973,50445,1.4210854715202004e-14,0.0,0.213813234375,0,0,0,16.0,11.0
6,16.0,No region allocation,0.0004586385078964973,0.0004586385078964973,50489,1.4210854715202004e-14,0.0,0.21399973020833335,0,0,0,16.0,11.0
6,16.0,No false-forward cap,0.00013255990782808777,0.00026511981565617554,50156,1.4210854715202004e-14,0.0,0.21258829583333336,3,2,0,16.0,12.588375919535668
6,16.0,No replay cache,0.0003119056654778536,0.0003119056654778536,50324,1.4210854715202004e-14,0.0,0.21330037083333336,0,0,0,16.0,12.588375919535668
6,16.0,Oracle allocation,0.00014975807087337233,0.00029951614174674466,50150,1.4210854715202004e-14,0.0,0.21256286458333334,0,0,0,16.0,12.169840488942445
7,16.0,TRAPS full,0.0001570086821188684,0.0003140173642377368,50136,1.4210854715202004e-14,0.0,0.212503525,0,0,0,20.0,12.446204375949154
7,16.0,No learned router,0.0004586385078964973,0.0004586385078964973,50413,1.4210854715202004e-14,0.0,0.21367760104166666,0,0,0,16.0,11.0
7,16.0,No region allocation,0.0004586385078964973,0.0004586385078964973,50484,1.4210854715202004e-14,0.0,0.2139785375,0,0,0,16.0,11.0
7,16.0,No false-forward cap,0.00013345737980103813,0.00026691475960207627,50128,1.4210854715202004e-14,0.0,0.2124696166666667,3,2,0,16.0,12.446204375949154
7,16.0,No replay cache,0.0003140173642377368,0.0003140173642377368,50336,1.4210854715202004e-14,0.0,0.21335123333333336,0,0,0,16.0,12.446204375949154
7,16.0,Oracle allocation,0.0001505310227228566,0.0003010620454457132,50136,1.4210854715202004e-14,0.0,0.212503525,0,0,0,16.0,12.262104077416124
8,16.0,TRAPS full,0.00015660410289910232,0.00031320820579820464,50163,1.4210854715202004e-14,0.0,0.21261796562500002,0,0,0,20.0,12.448569286423439
8,16.0,No learned router,0.0004586385078964973,0.0004586385078964973,50432,1.4210854715202004e-14,0.0,0.21375813333333335,0,0,0,16.0,11.0
8,16.0,No region allocation,0.0004586385078964973,0.0004586385078964973,50419,1.4210854715202004e-14,0.0,0.21370303229166668,0,0,0,16.0,11.0
8,16.0,No false-forward cap,0.00013311348746423697,0.00026622697492847394,50140,1.4210854715202004e-14,0.0,0.21252047916666666,3,2,0,16.0,12.448569286423439
8,16.0,No replay cache,0.00031320820579820464,0.00031320820579820464,50334,1.4210854715202004e-14,0.0,0.21334275625000002,0,0,0,16.0,12.448569286423439
8,16.0,Oracle allocation,0.00014485371979752146,0.0002897074395950429,50146,1.4210854715202004e-14,0.0,0.21254591041666668,0,0,0,16.0,12.387070322410825
9,16.0,TRAPS full,0.00016349608535023424,0.0003269921707004685,50145,1.4210854715202004e-14,0.0,0.21254167187500003,0,0,0,20.0,12.49277100493098
9,16.0,No learned router,0.0004586385078964973,0.0004586385078964973,50452,1.4210854715202004e-14,0.0,0.21384290416666668,0,0,0,16.0,11.0
9,16.0,No region allocation,0.0004586385078964973,0.0004586385078964973,50470,1.4210854715202004e-14,0.0,0.21391919791666666,0,0,0,16.0,11.0
9,16.0,No false-forward cap,0.0001389716725476991,0.0002779433450953982,50137,1.4210854715202004e-14,0.0,0.21250776354166667,3,2,0,16.0,12.49277100493098
9,16.0,No replay cache,0.0003269921707004685,0.0003269921707004685,50313,1.4210854715202004e-14,0.0,0.213253746875,0,0,0,16.0,12.49277100493098
9,16.0,Oracle allocation,0.0001486064557613125,0.000297212911522625,50145,1.4210854715202004e-14,0.0,0.21254167187500003,0,0,0,16.0,12.13040419586829
